kota,lokasi,luas_lahan,luas_bangunan,kamar_tidur,kamar_mandi,keamanan_24jam,taman_bermain_anak,harga
Jakarta Selatan,"Cilandak, Jakarta Selatan",72,120,4,4,Tidak,Tidak,2400000000.0
Jakarta Selatan,"Srengseng Sawah, Jakarta Selatan",55,90,3,2,Tidak,Tidak,900000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",150,130,3,3,Tidak,Tidak,900000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",125,180,4,4,Tidak,Tidak,2100000000.0
Jakarta Selatan,"Kebagusan, Jakarta Selatan",75,130,3,3,Tidak,Tidak,2125000000.0
Jakarta Selatan,"Jalan Pondok Indah Mall 1, Jakarta Selatan 12310, Indonesia                                        Pondok Indah, Jakarta Selatan",264,600,4,4,Ada,Tidak,17500000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",85,200,5,5,Tidak,Tidak,2500000000.0
Jakarta Selatan,"Jalan Pahlawan Kalibata, Jakarta Selatan 12740, Indonesia                                        Kalibata, Jakarta Selatan",103,207,4,4,Ada,Tidak,4100000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",114,200,4,4,Tidak,Tidak,2900000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",60,36,2,2,Ada,Tidak,240000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",309,200,3,3,Tidak,Tidak,6000000000.0
Jakarta Selatan,"Senayan, Jakarta Selatan",680,1200,5,5,Ada,Ada,55000000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",640,400,7,5,Tidak,Tidak,13500000000.0
Jakarta Timur,"Rawamangun, Jakarta Timur",132,260,6,3,Tidak,Tidak,2800000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",96,160,4,4,Tidak,Tidak,2550000000.0
Jakarta Timur,"Jalan Kebon Nanas, Jakarta Timur 13360, Indonesia                                        Cipinang Cempedak, Jakarta Timur",104,140,4,4,Ada,Tidak,2650000000.0
Jakarta Utara,"Penjaringan, Jakarta Utara",160,183,3,3,Ada,Ada,5542000000.0
Jakarta Utara,"Penjaringan, Jakarta Utara",240,289,4,4,Ada,Ada,8474000000.0
Jakarta Selatan,"Kebagusan, Jakarta Selatan",75,130,3,3,Tidak,Tidak,2125000000.0
Jakarta Pusat,"Tanah Abang, Jakarta Pusat",158,185,3,3,Tidak,Tidak,4000000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",107,150,4,3,Tidak,Tidak,1800000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",135,250,4,4,Tidak,Tidak,3800000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",74,130,4,4,Tidak,Tidak,2400000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",500,250,3,2,Tidak,Tidak,3500000000.0
Jakarta Barat,"Kembangan, Jakarta Barat",160,224,5,4,Tidak,Tidak,5200000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",200,150,4,4,Ada,Tidak,3950000000.0
Jakarta Timur,"Pasar Rebo, Jakarta Timur",75,130,4,4,Ada,Tidak,1750000000.0
Jakarta Timur,"Cipayung, Jakarta Timur",280,200,3,3,Tidak,Tidak,2800000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",72,140,3,3,Ada,Tidak,2100000000.0
Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",39,77,2,2,Tidak,Tidak,1395000000.0
